startprofiel,startprofiel+extra,LF  startprofiel+extra,aangepast profiel,LF aangepast profiel ,regelpunt,kwartieren boven limiet,test,390 of 360A,profiel 360/390A afhankelijk van LF,verlies aan energie,,startprofiel,startprofiel+extra,aangepast profiel,profiel 360/390A
335.3152173913,502.972826087,0,502.972826087,0,0,0,0,390,390,762.2276576087,0,24240.6047911699,36360.9071867556,34274.6476111154,33537.6302216788
319.2913043478,478.9369565217,0,478.9369565217,0,0,0,0,390,390,600.0576456522,0,,verloren energie met DLR,2086.2595756402,
324.6326086957,486.9489130435,0,486.9489130435,0,0,0,0,390,390,654.1143163043,0,,verloren energie met 360/390,2823.2769650768,
305.047826087,457.5717391304,0,457.5717391304,0,0,0,0,390,390,455.906523913,0,,delta ,737.0173894367,
297.9260869565,446.8891304348,0,446.8891304348,0,0,0,0,390,390,383.8309630435,0,,,,
310.3891304348,465.5836956522,0,465.5836956522,0,0,0,0,390,390,509.9631945652,0,,,,
300.3,450.45,0,450.45,0,0,0,0,390,390,407.85615,0,,,,
315.1369565217,472.7054347826,0,472.7054347826,0,0,0,0,390,390,558.0135684783,0,,,,
326.4130434783,489.6195652174,0,489.6195652174,0,0,0,0,390,390,672.1332065217,0,,,,
318.697826087,478.0467391304,0,478.0467391304,0,0,0,0,390,390,594.051348913,0,,,,
315.1369565217,472.7054347826,0,472.7054347826,0,0,0,0,390,390,558.0135684783,0,,,,
305.6413043478,458.4619565217,0,458.4619565217,0,0,0,0,390,390,461.9128206522,0,,,,
309.202173913,463.8032608696,0,463.8032608696,0,0,0,0,390,390,497.950601087,0,,,,
297.3326086957,445.9989130435,0,445.9989130435,0,0,0,0,390,390,377.8246663043,0,,,,
302.0804347826,453.1206521739,0,453.1206521739,0,0,0,0,390,390,425.8750402174,0,,,,
275.3739130435,413.0608695652,0,413.0608695652,0,0,0,0,390,390,155.5916869565,0,,,,
278.9347826087,418.402173913,0,418.402173913,0,0,0,0,390,390,191.6294673913,0,,,,
275.9673913043,413.9510869565,0,413.9510869565,0,0,0,0,390,390,161.5979836957,0,,,,
282.4956521739,423.7434782609,0,423.7434782609,0,0,0,0,390,390,227.6672478261,0,,,,
252.2282608696,378.3423913043,0,378.3423913043,0,0,0,0,390,378.3423913043,0,0,,,,
273.5934782609,410.3902173913,0,410.3902173913,0,0,0,0,390,390,137.5727967391,0,,,,
243.3260869565,364.9891304348,0,364.9891304348,0,0,0,0,390,364.9891304348,0,0,,,,
260.5369565217,390.8054347826,0,390.8054347826,0,0,0,0,390,390,5.4342684783,0,,,,
243.3260869565,364.9891304348,0,364.9891304348,0,0,0,0,390,364.9891304348,0,0,,,,
267.6586956522,401.4880434783,0,401.4880434783,0,0,0,0,390,390,77.5098293478,0,,,,
252.8217391304,379.2326086957,0,379.2326086957,0,0,0,0,390,379.2326086957,0,0,,,,
201.7826086957,302.6739130435,0,302.6739130435,0,0,0,0,390,302.6739130435,0,0,,,,
214.2456521739,321.3684782609,0,321.3684782609,0,0,0,0,390,321.3684782609,0,0,,,,
137.6869565217,206.5304347826,0,206.5304347826,0,0,0,0,390,206.5304347826,0,0,,,,
147.7760869565,221.6641304348,0,221.6641304348,0,0,0,0,390,221.6641304348,0,0,,,,
163.8,245.7,0,245.7,0,0,0,0,390,245.7,0,0,,,,
204.75,307.125,0,307.125,0,0,0,0,390,307.125,0,0,,,,
